""	"textOriginal"
"1109"	"Mafia mafia"
"1110"	"Maju kena mundur kena, kata kunci bukan prioritas"
"1111"	"Maju terus ketua adat
. Saya dukung pendirian anda."
"1112"	"Makan tu banjir Jakarta 🤣🤣🤣🤸"
"1113"	"Makanya harus ada perlindungan hak2nya kepada para penduduk asli"
"1114"	"Makanya waktu itu drama bakar utan di awal buat memperluas"
"1115"	"Malu rasanya terhadap rezim ini mendengar penjelasan dari rakyat kecil"
"1116"	"Mampir yuk kemari mas 😊"
"1117"	"mantap bapa, mantaaaaaaaaaap."
"1118"	"Mantap ibu2.teruslah berjuang. Jangan mau di bodohi preman berdasi."
"1119"	"Mantap jawaban pak suku."
"1120"	"Mantap juga pak sibukdin, sebagai kepala adat cukup mumpuni pengetahuan nya"
"1121"	"mantap Mba Nana langsung ke lokasi"
"1122"	"Mantap Mbak Nana...Sehat selalu dan Allah SWT selalu melindungi dan menjaga perjuangan Mbak Nana dan team 👍"
"1123"	"Mantap pak preman berdasi lebih berbahaya daripada preman bertato."
"1124"	"Mantap...beliau cerdas,hanya pinta ke pemerintah jaminan atas kepemilikan hak adat atas tanahnya dlm bentuk surat resmi serta jaminan hidup layak bagi warga adatnya bila IbuKota jd pindah..."
"1125"	"Manusia atas nama pemerintah mana bisa dipercaya , mereka cuma akal bulusnya aja , setelah selesai ibukota baru di daerah Kalimantan timur mana orang Kalimantan setempat tidak akan dipikirkan lagi , mari sama-sama kita lihat nanti nya . Mereka cuma membohongi warga setempat"
"1126"	"Masah nanya sama para pendatang,,itu org imigran bukn suku asli"
"1127"	"Masalah Simple tp jd dibuat susah. Kl mau maling pasti bacot."
"1128"	"Masarakat punyahak berapirasi rakayat yang harus di pedulikan kami butuh wacana kalian"
"1129"	"masih hutan\" sih,,tp semoga aja nanti banyak gedung dan bangunan keren"
"1130"	"Masyarakat Adat di daerah IKN merasa terpinggirkan. Dan selama ini memang sudah terpinggirkan. Bagaimana nanti"
"1131"	"Masyarakat Adat diperhatikan kok pak..nyatanya ketua adat selalu mendapat gaji dan tunjangan dri pemerintah setiap bulan."
"1132"	"Masyarakat adat memang selalu kalah dr org2 yg mengandalkan legalitas. Tanah yg luas, biasanya berbatas dg tanda2 alam, bukan patok atau koordinat, mrk sangat lemah posisinya.
HGu2 yg ada itu penetapannya sering sepihak berdasarka data BPN atau kehutanan yg sering sangat tdk akurat. Masyarakat adat selalu kalah.
Jo kwi memang egois. Nggedabrus, tanpa visi sama sekali. hanya ingin nyohor."
"1133"	"Masyarakat Kalimantan harus berterima kasih sama acara mata najwa"
"1134"	"Masyarakat kecil memang nggak pernah dianggap. Kayak mahluk goib aja. Selalu diabaikan. Disingkirkan. Tidak dianggap."
"1135"	"Mata kadrun provokator"
"1136"	"Mata najdrun, semakin dungu."
"1137"	"Mata najwa memang hebat,,, akhirnya masyarakat bergerak bukan lagi melawan penjajah tapi bergerak melawan pemerintah sendiri... Kinipan 2"
"1138"	"Mau pindah silakan, gak pindah juga g masalah. Gak ada efek terhadap hidup saya."
"1139"	"Maunya adat masih ada, tapi hidup sejahtera, padahal zaman terus berjalan.
Kalau adat harus sama seperti yang nenek moyang lakukan itu bisa, tapi hidup sejahtera belum tentu bisa.
Padahal tanah di Kalimantan itu dulu milik pemerintah.

Maaf kalo salah, silahkan koreksi."
"1140"	"Mba Najwa knp dengan anda..."
"1141"	"Mba nana kalau ga setuju ibu kota pindah ngomong aja blak2an kaya Pak edy.."
"1142"	"Mba, saya suka kecerdasan mba najwa,, tapi saya ada pengajuan sedikit, tolong gaji mba dari youtub?! Perban tukan buat rumah pakirmiskin, yg rumahnya sudah tidak layak huni"
"1143"	"Mbak najwa adalah penyambung lidah rakyat... salut aku sama perjuanganmu mbak ✊ smoga mbak najwa slalu dalam rahmat dan lindungan allah swt"
"1144"	"Mbak najwa ini memang cerdas wanita hebat"
"1145"	"Mbak Nana sekarang ko kerjanya memanas-manasi orang agar menolak relokasi? Masyarakat jadi anti pemerintah. Itukan keputusan bersama pemerintah dan dpr serta dpd, jg dgn tokoh2 adat. Ya ditampung masukan tokoh adat ini tapi ya pasti adalah resiko setiap pembangunan. Mau bangun rumah kita saja dampaknya semut, tikus, ular, rumput itu dikorbankan, kayu ditebang dll. Mau makan, harus capek angkat sendok taru ke mulut. Apalagi mau bangun IKN."
"1146"	"Mbk najwa adalah sebuah panutan bagi kaum perempuan subhanllah sudah cantik dan pintar"
"1147"	"Mbok Becce' dengan Dahlia berani...hebat..Semangatttt.."
"1148"	"Medianya Najwa ini gk bosan-bosannya menjadi provokator untuk menggagalkan program pemerintah. Kapan Nadjwa menjadi media yg memediasi kedamaian bagi rakyat dan pemerintah???"
"1149"	"Memang berat pak kepala adat  kalau musuh preman berdasi , mereka main di undang2 dan akal bulus nya luar biasa pintar ."
"1150"	"Memang sudah banyak contoh....penduduk asli pasti tersingkir..."
"1151"	"Membayangkan diri jadi warga asli, trus kampung halaman kalian digusur agar memberi jalan untuk orang luar menetap.


no hate ya buzzer, but this sucks."
"1152"	"Mendengar penuturan ibu- ibu tersebut sangat mengharukan sekali.. Tidak ingin menjadi Jakarta kedua.. Andai, pemerintah paham.."
"1153"	"mending di diemin aja wilayahnya. serba salah.

jawa bangun fasilitas, orang luar jawa bilang. jawa mulu yang di bangun.

luar jawa mau dibangun, resah isu hutan dibabat, warga lokal disampingkan.

mending didiemin wilayahnya, biar wali kota aja yang suruh bangun."
"1154"	"Mendingan duit pembangunan ibukota baru buat bayar hutang Indonesia."
"1155"	"Mengapa para w







Mengapa warga kalimantan tak 
membela wargAnya ygkena dampak, a, tp bgt pak Edi , konentar kok rame mau, bertindak, mohon bertndsklsh yg bijak"
"1156"	"Mengikut UU antarabangsa dan yg sering di lakukan byk negara di dunia ini jika pingin mengambil tanah dari mana2 pihak pun pasti akan membayar walaupun tanah itu milik negara sekalipun...Dan negara selalu nya akan menjamin kehidupan mereka seperti memberi rumah baru di campur uang pampasan...Tapi di indonesia saya liat pemerintah suka hati otak nya aja ambil tanah milik org sana sini tanpa mau bayar sepersen pun alasan nya kerna milik negara...Ayuh,bangkit melawan sampe hak anda terpenuhi 👍"
"1157"	"Mengutip pernyataan Rizal Ramli ,ibu kota baru buat rakyat china"
"1158"	"Menjadi IKN kan, bukan berarti harus menjadi kota metropolitan.........biar lah IKN menyatu dg alam.....😀

Agar Masyarakat setempat,,,,,jauh dari ketakutan yg mereka Pikirkan..."
"1159"	"Menurut saya pindah ibu kota itu motifnya politik dan koruptif.
Ingin menghapus sejarah kota Jakarta sekaligus jadi *BAJING LONCAT* yg legal bagi partai berkuasa. Salah yg milih.👹🤛

Herannya: bagaimana bisa pemerintah bisa seenaknya menjadikan dirinya berkuasa atas tanah yg tidak pernah dimiliki,kecuali dg SK,padahal mereka memiliki sejak nenek moyangnya. Betapa perlunya memilih partai yang yg benar bukan penipu,sekaligus memilih pemimpin yg jujur,berani dan tegas serta lugas dan amanah."
"1160"	"Menyedihkan, semoga orang orang yang bermain di IKN dapat selamat dihari akhir nanti.. Buat warga yang katanya pemimpin disitu setuju tetap sabar semoga keadilan berpihak kpd kalian"
"1161"	"Menyrdihkan sikon ini utk saudara2 kita di Kalimantan."
"1162"	"Mereka orang asli atau adat sdh lama berpuluh/ beratus tahun tinggal di wilayah itu, tiba2 ada acara yg mengusik mereka. 
Tiba2 juga bicara soal status tanah yg mereka tinggali, bersertifikat atau tidak dll. 
Tanah Air ini milik Rakyat bukan mereka2 yg sedang pimpin pemerintah ini."
"1163"	"Mereka pendatang"
"1164"	"meskipun secara hukum adalah HGU, tapi jgn lupa masyarakat disana adalah saudara kita sebangsa dan setanah air....
Negara harus hadir disini mengatasi kecemasan mereka.."
"1165"	"Mesti bahas..hal yg bagus ya...najwa..ini saya kasih masukan hal positif...Apa bisa Presiden berikutnya Jokowi..tanya ketua MPR dan jk tdk bisa tanya lg apa bisa beliau jd Wkil presiden saja..ngerti maksudnya..pernah tau dan lihat orang jujur tdk terlena dengan uang d depan matanya..itu lah jokowi..serius saya..alhamdulillah bs hidup d masa nya..hanya memang tragedy d masa beliau sangat banyak..dr bencana alam sunami,banjir,gunung dan corona..jd kasih 5thn lg beliau..walaupun hanya wakil presiden beliau tulus untuk memajukan indonesia ini..buat anak cucu kita kelak.."
"1166"	"mikirnya bersaing bersaing dan bersaing, padahal bisa berkolaborasi"
"1167"	"Minimal, sahkan tanah mereka dengan legalisasi/serifikat pak... Biar mereka tenang..."
"1168"	"MIRIIIISS..."
"1169"	"Miris banget emang,tiap tahun ada aja deforestasi besar-besaran dgn alasan pembangunan dan lapangan pekerjaan....faktanya dilapangan banyak jg masyarakat asli kalimantan yg gk dpt manfaat apa-apa dari itu semua"
"1170"	"miris juga dengarnya, sepertinya semua masyarakat adat, salut utk beliau"
"1171"	"Mntf ni kepala sukuuu🙏🙏👍👍"
"1172"	"Moga aja tidak terjd hal yg sama dgn warga singapora"
"1173"	"Mohon maaf sebelumnya, yg saya lihat orang2 kaltim itu cerdas sebenarnya tercermin dari ketua adat atau pun pandangan masa depan yang dikemukakan ibu dahlia... Menurut pandangan saya satu2nya yg tidak cerdas dari mereka adalah dalam hal memilih gubernur😂"
"1174"	"Mreka membangun IKN tdk ada tujuan lain hanyalah mencari keuntungan dri pembangunan2 tender bsar2an dan yg Pling utama buang2 duit rakyat menjerit Pdahal uangnya berhutang bhong klu tdk ada kepentingan pribadi"
"1175"	"Mukidi bakal tenggelam Kaya firaun.. China siap kuasai Indonesia"
"1176"	"mungkin dulu yg bagi bagi sertifikat gratis negri wakanda, bapak ketua adat di negara mana pak? 🔥🔥🔥"
"1177"	"Mungkin jika ibukota tidak berpindah maka Indonesia akan berada dalam sebuah kekacauan sehingga perpindahan ibukota menjadi sebuah kedaruratan."
"1178"	"Mungkin sekarang tidak mengambil wilayah masyarakat tpi tapi pelan\" akan mengambil tanah masyarakat"
"1179"	"Musuh masyarakat pereman berdasi yg akan membasmi masyarakat2 kecil yg dulu berjuang hanya untuk kehidupannya....??? Apa sedang terjadi di belakang proyek baru ini....😒😕🙁🙁"
"1180"	"Nah Kan Ketahuan..Sesuai Info Kepala Adat, Pemerintah hanya Memperhatikan Perusahaan dan RAN dan ga memperhatikan Manusia yg tinggal disana"
"1181"	"NAH KAN? URUS SURAT2 AJA GK BISA? GIMANA NANTINYA KLO PARA CUKONG ITU SUDAH TINGGAL DISANA? MAU KEMANA LAGI KALIAN WAHAI PEWARIS TANAH NENEK MOYANG ITU?? APAKAH MANDAU KALIAN MASIH BERFUNGSI SAAT ITU NANTI?? 🤔🤔"
"1182"	"Nahh kaan baru ketahuan gimana pendapat masyarakat Kalimantan 😂, di atas bilangnya aman\" ajaa karena mereka nggk turun langsung ke masyarakat"
"1183"	"Najwa bahas formula e donk, rakyat dki perlu kejelasan"
"1184"	"Najwa provokasi ...dosa kamu.."
"1185"	"Nan sarunai usak jawa d jaman milenum bukan dengan cara perang tapi dengan cara canggih"
"1186"	"Nana untuk warga sekitar pasti kena dampak,baik itu dampak positif maupun negatif, insyaaloh dampak positif ya lebih banyak"
"1187"	"Nanti akan di tata hunian masyarakat adat.. ni masih baru setengah jalan..Pemda juga gak mau kasi janji kosong karena masih menunggu kepastian hukum IKN.. nah kalo sudah pasti baru ada kepastian perencanaan tata kota IKN.. kekhawatiran itu jelas ada yang diminta ketua adat cuma jaminan.. kami urang Kalimantan tidak pernah culas kecuali jaman orba yg pengacara,hukum dan perusahaan raja rekayasa dan semua orang luar Kalimantan .. 🤦🤦"
"1188"	"Nanti bersaing jualan seblak sama kami pak. Tenang, bikinnya gampang kok.

Nyari makan di hutan? Kuno!
Babat habis aja hutannya lah, banjir bodo amat yg penting makan seblak."
"1189"	"NANTI BISA2 DI GUSUUR RAKYAT CUMA NANGIIIS,,,,,"
"1190"	"nanti dianggap kalau menjelang pemilu"
"1191"	"Nanti kalian suku Dayak akan merasa akibatnya.sekarang kalian suka suka aja dulu.liat nnti apa yg akan terjadi"
"1192"	"nanti mo dekat pemilu baru dateng, mengemis ngemsi suara ke rakyat..terpilih di cuekin..memalukan.."
"1193"	"Nanti tak beda dg singapura...rkt asli tersingkirkn..yang ada mayoritas orang luar...dan lbh parahnya kalau pemilik tanah mayoritas aseng n aseng"
"1194"	"Nantu bu nanas"
"1195"	"nasib  pribumi  menghawatirkn   warga  asli"
"1196"	"Nasib anak negeri yang malang,  keberadaan kalian memang ga dianggap, semua yang diucapkan para pemimpin negeri ini tentang rakyat cuma isapan jempol saja."
"1197"	"Negara federal solusinya.
Kalau tidak masyarakat Tempatan akan terusir.
Kalau tidak berikan rakyat referendum bersatu dengan pulau Jawa atau tidak.
Yang di perhatikan hanya warga transmigran."
"1198"	"Negara ini.."
"1199"	"Negara omong kosong belaka"
"1200"	"Negeri ku dijajah oleh bangsaku sendiri."
"1201"	"Nerapin kurikulum pendidikan baru saja msih bnyak yg bolong, apalagi mo pindah ibukota 😭
Kenapa ya SDM indo sering begitu, kurang persiapan"
"1202"	"Ngak berimbang berita nya. Harusnya ada jga dari kalangan masyarakat yg pro. Saya rasa ngak semua yg tidak setuju"
"1203"	"ngakak bang 😂😂"
"1204"	"ngapain sih ngotot mindahin ibukota..buang2 duit saja..aneh..bagus 2 hutannya lebat malah di gundulin. saran sy ke pemerintah sebaiknya area reklamasi pantai  jkt saja yg dijadiin ibukota..kasian masyarakat sekitar IKN.."
"1205"	"ngebet amat bangun ibukota baru. pdhl gak penting samasekali. buang2 duit."
"1206"	"Ngeri yaa lama2 negara ini, yg kcil maen drong jaa cra nyinkirin nya...., Klo bner jdi sih.... Buat org asli klimantan ini bsa di blang kiamat kecil, buat org ptinggi2 elit, ini sham besar...."
"1207"	"Ngerii...kekhawatiran ketua adat...udah bs kebaca 🙏😭"
"1208"	"Ntar cina yg berkuasa rakyat kecil tersingkir"
"1209"	"Nyata nye ketua adat treak🤭"
"1210"	"Oh may god I support you for your reporting about IKN. May Allah bless you. Amiin."
"1211"	"Oh tdk bisa kawa klo di kaltim"
"1212"	"Oh tdk bisa kawan, sblom jadi ikn perda dsni udh ada yg baru utk membatasi pendatang, jdi kota kota smua di kaltim di batasi pendatang, kcuali yg cuman buat tour wisata doank, klo perantau di batasin kapasitas org masuk nya. Saya suka perda baru ini, jdi yg perantau pikir 8x sblom sampai sini di pulangkan kembali"
"1213"	"Oh tdk bisa,"
"1214"	"Oh..ini toh bupati yang kena OTT KPK"
"1215"	"Ojo karo nangis"
"1216"	"Om"
"1217"	"om sibuk.... semangat om."
"1218"	"Omongan pejabat ga bisa dipercaya... 
Harusnya ada jaminan kesejahteraan buat warga lokal... baik sertifikat maupun jaminan pekerjaan sbg ASN di institusi yg ada di ibukota baru..."
"1219"	"Oo berarti si bapak maunya hidup apa adanya, maunya tidak ada gangguan sedikitpun ataupun bantuan dari pemerintah gitu ya pak. Gimana nih padahal gua udah berharap banget Kalimantan lebih dipandang"
"1220"	"orang asli IKN harus lebih diperhatikan bukan seperti suku betawi di Jakarta"
"1221"	"Orang awam saja tau mana yang kapitalis mana yang masih punya hati"
"1222"	"Orang pintar Bapak ini,"
"1223"	"Org asli akan kalah bersaing dg pendatanh"
"1224"	"Org pendatanglah tuh mana bisa dikasih sertifikat,,"
"1225"	"org yg udah lama disana di singkirkan oleh perusahan dan IKN yg bru saja berdiri,  miris yg di perhatikan malah perusahaan yg babat hutan"
"1226"	"Otomatis pasti di gusur penguasa yg banyak duit!!!!!!!"
"1227"	"pa bupati ini waktu hadir di chanel akbar faisal.
bupati bilang masarakatnya semua menyambut ibukota baru.
stelah d datangu mba najwa eee ternyata"
"1228"	"pa gubernur,pendapat masarakat di dengar dan ambillah buat putusan yg baik,sejahterakan rakyat sekitar"
"1229"	"Pada akhirnya akan berlaku hukum kota dalam arti siapa yg kuat (duitnya) dialah yg akan menguasai  lahan maupun akses ekonomi. Sudah bukan barang baru bahwa kehadiran suatu proyek besar di suatu wilayah (terlebih untuk proyek IKN) seringkali tidak berbanding lurus antara harapan rakyat setempat (yg diiming2) dgn kemauan dan tujuan pr konglomerat dan penguasa bahkan seringkali malah sebaliknya, warga setempat hanya jadi penonton kemakmuran sambil berupaya utk visa bertahan hidup dr himpitan ekonomi yg sebelumnya tidak pernah dialami.
Jadi yg selama ini bereporia akan hadirnya IKN baru tentu bukan warga setempat yg saat ini malah gelisah akan nasibnya kedepan yg bisajadi akan terkucil dari pergaulan kota bahkan justru tersingkir entah kemana. Itulah realita zaman yg seringkali hanya jadi segores kenangan (pahit tentunya) kaum bawah."
"1230"	"PADA AKHIRNYA RAKYAT AKAN DI KALAH KAN OLEH PEMERINTAHAN NYA ............"
"1231"	"Padahal mindahin ibukota bukan hal urgent. Ada hal lain yang lebih penting. Jakarta bukan seharusnya ditinggal, pindah ibukota bukan berarti menyelesaikan masalah. Kesel bangat, bukan kesel karena ibukota mau pindah. Tapi lebih kesel karena hal penting lain yang urgent, kalah sama rencana pemindahan ibukota."
"1232"	"Pak Bupati"
"1233"	"Pak bupati,bicara ko sama camat,sama kepala desa,,, langsung donk bapak berbicara dengan rakayat,bahkan pemangku adat sekalipun dan warga sekitar sangat tidak setuju pemindahan ikn,,,🤦‍♂️🤦‍♂️
PEJABAT BEDASI,!!
Bener pemangku adat bilang,,,"
"1234"	"Pak ketua adat yg sangat cerdas 👍"
"1235"	"pak tua orang bali itu bukan asli kalimantan, jadi langsung tanya aja ketua adat asli sana, ucapan bapak ini pun belum tentu didukung masyaakat lainya disana"
"1236"	"Pak,presiden dan pejabat yg lain budek.sabar pak🙏"
"1237"	"Pake kacamata terlihat style, sehat2 mba nana,, bantu warga untuk mendapatkan keadilan..."
"1238"	"Paling nasibnya sama dengan masyarakat betawi yang tersingkir dari tanah kelahirannya."
"1239"	"Pantasan aja rezim mau tiga priodeh jadi ini maunya astagfiruallah aladzim ingt mati pak yg di bawa amal ibada yg baik bukan jabatan yg tinggi, tlng rezim hrs amana rakyat dan adil rakyat di zolimi doanya cpt tericabah"
"1240"	"Para bekantan yang hampir punah dan fauna lain begitu juga keragaman dan kekayaan hayati sebagai paru2 dunia sebentar lagi tinggal cerita, kalau suku asli ya pasti dipinggir seperti biasa karena bisa jadi hutan tempat mereka hilang juga, yakin mau lanjutkan IKN baru🤔🤔? Ruwet"
"1241"	"Para penguasa haus akan kekuasaan duniawi ☹️😡"
"1242"	"Para suku adat dari dahulu mrk mempertahankan buminya
agr ttp utuh dan damai dg alamnya
Regenerasi para pemimpin skrg yg mrk TDK merasa berjuang
Yg cm ahli dlm membangun infrastruktur ingin merasa LBH hebat Dimata dunia
Sementara nti apa yg dirasakan masyarakat adat"
"1243"	"Para sumbu pendek pastilah gk seneng lihat kemajuan indonesia, dan najwa sihab tentu akan slalu mencari celah kesalahan maupun batu sandungan, untuk di jadikan narasi publik, seolah masyarakat kecil smua tertindas, tpi gk di sadari bahwa nana sedang membuka aib negara di mata dunia,maka saya berharap apapun yg terjadi, bahwa pemerintah harus tetap teguh untuk pembangunan ikn nantinya, karna dampaknya untuk keberlanjutan negri ini ke depan,jangan pernah hiraukan ocehan media maupun narasi yg sumbang, seolah membela rakyat, tpi omong kosong karna narasi hanya akan jadi pepesan kosong!!"
"1244"	"Paru paru bukan jantung"
"1245"	"Pasti Dirukan tuh Warga Kaltim dgn adanya Proyek IKN 😁"
"1246"	"Pasti nana cari nasum pasti yg kontrak."
"1247"	"Pastilah akan terusir yg saya kawatirkan kalau yg tinggal para Aseng apalagi Ahok akan di tunjuk..yg akan terjadi gejolak pribumi dengan Aseng...di Jakarta jadi target cuma tidak berhasil karena Ahok kalah.."
"1248"	"Pejabat daerahnya Arogan..
Ngga peduli pada masyarakat adat."
"1249"	"Pejabat gak inget apa yaa yg licik/curang di Kalimantan yg menyalahi adat setempat pasti habis. Mgkn mereka lupa hehehe
Harap di ingat, yang baik di Kalimantan jangan sampe Panglima Burung turun gunung"
"1250"	"Pejabat nya hanya bisa wani piro"
"1251"	"Pejabatnya cuma mikir proyek...pronyek .😁😁😁😁..."
"1252"	"Pembangunan bukan untuk orang miskin, apalagi tanah disana banyak tanah adat yang belum bersertifikat."
"1253"	"Pembangunan ibu kota baru di kaltim keliatannya pembangunan yang maksa banget. Dan juga terlihat egois."
"1254"	"Pembangunan itu pasti ada yang merasa dikorbankan kalau tidak punya status tanah yang jelas"
"1255"	"Pembangunan manusia yang merata  tapi tidak memikirkan kearifan dan sumber daya manusia lokal setempat. Dan tentang masalah trans dari masa lalu membuat kebecian terhadap orang jawa bertambah. (Pendapat jujur gw) gak heran orang2 didaerah trkdang gak suka dengan perantau dari jawa tapi cuma disimpan dalam hati"
"1256"	"Pemerintah gak cerdas padahal itu tempat penghasil utama rdkyat"
"1257"	"Pemerintah gk Bisa Lagi Bagun IKN Di pulau Jawa......Harga Tanah Di pulau Jawa Terlalu Tinggi.....Sementara IKN Butuh Area Yg Ratusan Ribu Hektar...."
"1258"	"Pemerintah hanya mementingkan ego atau jgn2 pindahnya IKN ke Kaltim ada kaitannya dengan China kali yaa..Indonesia kan pinjam lg China"
"1259"	"Pemerintah hanya mementingkan keperluanya sendiri,tampa memikirkan dampak sosial kehidupan disana,miris sih jika suku adat itu berubah kalimantan tuh paru paru dunia"
"1260"	"Pemerintah pusat udah mulai pembangunan besar2an, bupati bilang gatau pemerintah ngapain. aneh banget"
"1261"	"Pemerintah tanpa tanding"
"1262"	"Pemerintahan skrg,LEBIH BESAR PASAK DRPD TIANG."
"1263"	"Pemindahan ikn adalah pekerjaan besar yg selama 70 th direncanakan tidak bisa diexkusi alias dilaksanakan, Pekerjaan besar ini tentu akan mengakibatkan dan berdampak fositip dan negatip.Tidak satu pekerjaan/ keputusan"
"1264"	"Pemindahan IKN pasti berdampak, kerugian berbagai pihak pasti sdh masuk hitungan pemerintah.  Pasti ada solusi terbaik untuk INDONESIA yang lebih baik."
"1265"	"Penajam tu dlm bahasa besemah kuno sumsel=kikir..asahan..alat untuk menjamkan senjata dr by3si"
"1266"	"Penduduk asli sebaiknya bertahan dan jangan mau pindah sampai terusir !!! Bertahan karena sangat menguntungkan !!! Pertahankan tabah adat ....jaga kelestariannya !!! Hati hati calo tanah berkeliaran !!"
"1267"	"Penduduk pribumi/asli harusnya diprioritaskan jaminan masa depannya,harus ditangani oleh kementrian terkait dg serius dan tuntas.....jangan termasuk di didzolimi....jangan jadikan pribumi yang tersingkir. ..prihatin dan sedih.....Mohon Fihak terkait di pemerintahan bisa bekerja mengurusnya ,jangan termasuk orang berbuat dzolim......!!!!????  
Praktekan sbg aparat yang Pancasilais,amanah ,peduli dg rasa kemanusiaan dan tindakan yang MANUSIAWI.......!!!!!!"
"1268"	"Penguasa dzolim sampai 
Tdk memperhatikan rakyatnya"
"1269"	"Penguasa ma.. Bebas mau ngapain ja"
"1270"	"penguasa ya pasti ada kepentingan rakyat +pribadi."
"1271"	"Penjabat negara yg baik adalah mensejahterakan rakyatnya bukan menyengsarakan."
"1272"	"PERAMPOK BERDASI 😉😁😁😁"
"1273"	"Peres lo"
"1274"	"Perlu ada peraturan pembatasan imigrasi!! Biar gak jadi kayak Jakarta! Semoga pemerintah tegas nerapin yg ini!! Dimana gula di situ semut ngumpul"
"1275"	"Pernyataan di menit 08.50 tervalidasi di menit 11.15"
"1276"	"Persiden hasil kardus yg di gembok"
"1277"	"pertahan kan pak.. bapak punya pola pikir cerdas.. dan dapat memprediksi masa depan..."
"1278"	"Pertanyaannya kenapa baru mau ngurus sertifikat  setelah di umumkan IKN. Kenapa ngak dari dulu."
"1279"	"Pesimis, takut bersaing....\"kurang beriman\"
Mati ae"
"1280"	"Pinda ke papua az ibu kota nih.....setuju komen🙋"
"1281"	"Pindah karena alasan bencana dan kelebihan populasi
Tolong jangan membuat aku tertawa oii negeri ini"
"1282"	"Pindahkan saja ikn ke kalimantan timur, kalo tidak cuma jawaa yang di anggap indonesia!. Soekarno juga presiden pertama ada rencana untuk memindahkan ibu kota ke kalimantan!"
"1283"	"Pinokio monitor??🤪🤪🤪🤪"
"1284"	"Pintar pak adat"
"1285"	"Pinter pak sibukdin kepala adat yg bertanggung jawab atas warganya,,,bagus sekali salam dr Kalsel dan Jawa salam damai"
"1286"	"Poin penting dari ibu Dahlia, jangan sampai penduduk asli jadi seperti  Jakarta kedua..."
"1287"	"Pokok nya cuan. cuan cuan"
"1288"	"Politisi dipercaya? Susahhh"
"1289"	"polos banget"
"1290"	"polusi jadi alasan,paru2 dibolongi....kayu pergi kemana ?"
"1291"	"preettt"
"1292"	"Preman berdasi"
"1293"	"PREMAN BERDASI"
"1294"	"Preman berdasi 👍🏻"
"1295"	"Preman berdasi biasanya senjatanya kekuasaan dan produk hukum. Itu lebih berbahaya daripada preman."
"1296"	"Preman berdasi itu lebih berbahaya, kasihan ya keluhan ketua adat....warga setempat tidak dianggap artinya daerah tersebut dianggap tanah kosong alias tak berpenghuni...ya Alloh...bagaimana nasib mereka...."
"1297"	"Preman berdasi memang lebih jahat dr binatang, betul sekali pak, saya hidup dikalimantan pendatang jg, saya tdak setuju sekali ibu kota pindah, nanti banyak prrman berdasi"
"1298"	"preman berdasi.....ini realita yg dikemukakan kepala adat.."
"1299"	"Preman berkedok investasi"
"1300"	"Preman pasar lebih berakhlak drpd preman berdasi......"
"1301"	"Presiden Joko Widodo tahu hal ini kah?"
"1302"	"Pribumi di gertak TANAH ADAT DLL MILIK MENTRI"
"1303"	"PRO KONTRA ITU SO PASTI ADA, CUMA VALUENYA   LEBIH BANYAK MA NFAAT ATAU MUDARAT BAGI MASYARAKAT INDONESIA, KLO ADA YG MERASA TERUSIK WAJAR, ITU UNTUK MEMACU  KEMAMPUAN"
"1304"	"Pro kontra itu wajar saja lurr, tidak ada bangsa yg mau menyengsarakan rakyatnya."
"1305"	"Prof Tamim Pardede Bongkar Di Balik Demo warga Dayak https://youtu.be/g_3nQJDzvUs"
"1306"	"Prof Tamim Pardede Bongkar Di Balik Demo warga Dayak https://youtu.be/g_3nQJDzvUs"
"1307"	"Prof Tamim Pardede Bongkar Di Balik Demo warga Dayak https://youtu.be/g_3nQJDzvUs"
"1308"	"Prof Tamim Pardede Bongkar Di Balik Demo Warga Dayak https://youtu.be/g_3nQJDzvUs"
"1309"	"Prof Tamim Pardede Bongkar Di Balik Kasus Edi Mulyadi ternyata https://youtu.be/g_3nQJDzvUs"
"1310"	"Prof Tamim Pardede Bongkar Di Balik Kasus Edi Mulyadi ternyata https://youtu.be/g_3nQJDzvUs"
"1311"	"Progres pembangunan ibu kota baru sudah disuarakan dr presiden pertama dan baru di eksekusi Ama presiden ke 7. Kenapa dibangun ibu kota baru?
Karena jumlah penduduk semakin bertumbuh, orang luar Jakarta pasti ingin mengadu nasib di Jakarta, membuat Jakarta semakin penuh semakin kumuh.
Dengan ibu kota baru ini pemerintah pengen menciptakan peradaban baru, kota yang tertata, pemerataan pembangunan dan persebaran penduduk, tidak terkonsentrasi di Jawa terus, agar istilah Jawa centries di ganti jd Indonesia Centries
Kalo gak dibangun sekarang mau dibangun Ama presiden ke berapa?"
"1312"	"Proyek banyak yg rugi, ngotot buat IKN otaknya dimana ??? Napsu saja yg digedein, buat susah dan bebani rakyat."
"1313"	"Proyek IKN ini sangat ambisius dari banyak hal. Soal lingkungan pemukiman bahkan biaya yang sangat besar..tapi jagn sampai menyampingkan aspek2 sosial.  Jangn hanya mengutamakan pemilik modal."
"1314"	"Proyek pembangunan sangat dibutuhkan oleh tiap rezim. Sy kira anda2 semua paham itu."
